year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2019,Nov,8300,MATHEMATICS,1F,80,0,0,0,0,51,41,30,19,9,0
2019,Nov,8300,MATHEMATICS,1H,80,66,55,44,33,23,13,9,0,0,0
2019,Nov,8300,MATHEMATICS,2F,80,0,0,0,0,57,49,35,22,9,0
2019,Nov,8300,MATHEMATICS,2H,80,66,56,46,36,27,18,12,0,0,0
2019,Nov,8300,MATHEMATICS,3F,80,0,0,0,0,54,44,32,20,9,0
2019,Nov,8300,MATHEMATICS,3H,80,67,57,47,37,27,18,12,0,0,0
2019,Nov,8700,ENGLISH LANGUAGE,1,80,66,61,56,50,44,39,28,18,8,0
2019,Nov,8700,ENGLISH LANGUAGE,2,80,65,60,55,50,45,40,29,18,8,0
2020,Nov,8035,GEOGRAPHY,1,88,62,56,50,43,36,29,22,15,8,0
2020,Nov,8035,GEOGRAPHY,2,88,59,52,46,39,33,27,19,11,4,0
2020,Nov,8035,GEOGRAPHY,3,76,54,48,43,37,31,26,18,11,4,0
2020,Nov,8062,RELIGIOUS STUDIES A,2A,99,86,78,71,62,53,44,32,20,9,0
2020,Nov,8062,RELIGIOUS STUDIES A,2B,99,83,74,65,54,44,34,25,17,9,0
2020,Nov,8063,RELIGIOUS STUDIES B,1,99,86,78,71,61,51,41,29,18,7,0
2020,Nov,8063,RELIGIOUS STUDIES B,2A,48,42,38,35,31,27,23,16,10,4,0
2020,Nov,8063,RELIGIOUS STUDIES B,2X,54,48,44,40,35,30,26,18,11,4,0
2020,Nov,8063,RELIGIOUS STUDIES B,2Y,54,47,43,39,34,29,24,17,10,4,0
2020,Nov,8100,CITIZENSHIP STUDIES,1,80,64,58,53,45,38,31,22,13,4,0
2020,Nov,8100,CITIZENSHIP STUDIES,2,80,64,58,52,45,38,31,22,13,5,0
2020,Nov,8132,BUSINESS,1,90,69,64,59,51,44,37,26,15,5,0
2020,Nov,8132,BUSINESS,2,90,68,63,58,51,44,37,26,15,5,0
2020,Nov,8136,ECONOMICS,1,80,63,58,54,47,41,35,26,18,10,0
2020,Nov,8136,ECONOMICS,2,80,61,56,51,45,39,33,24,16,8,0
2020,Nov,8145,HISTORY,1A,84,56,49,43,36,29,23,17,11,5,0
2020,Nov,8145,HISTORY,1B,84,57,51,45,38,31,25,18,11,4,0
2020,Nov,8145,HISTORY,1C,84,59,53,48,40,33,26,18,11,4,0
2020,Nov,8145,HISTORY,1D,84,58,52,47,40,34,28,20,12,4,0
2020,Nov,8145,HISTORY,1E,84,56,49,43,35,28,21,15,9,4,0
2020,Nov,8145,HISTORY,1F,84,58,52,46,39,33,27,19,12,5,0
2020,Nov,8145,HISTORY,1G,84,59,53,48,41,35,29,20,12,4,0
2020,Nov,8145,HISTORY,1H,84,61,56,51,44,37,30,21,12,4,0
2020,Nov,8145,HISTORY,1J,84,60,55,50,44,38,32,22,13,4,0
2020,Nov,8145,HISTORY,1K,84,58,52,46,39,32,25,18,11,4,0
2020,Nov,8145,HISTORY,1L,84,56,49,43,36,29,23,17,11,5,0
2020,Nov,8145,HISTORY,1M,84,57,51,45,38,31,25,18,11,4,0
2020,Nov,8145,HISTORY,1N,84,59,53,48,40,33,26,18,11,4,0
2020,Nov,8145,HISTORY,1O,84,58,52,47,40,34,28,20,12,4,0
2020,Nov,8145,HISTORY,1P,84,56,49,43,35,28,21,15,9,4,0
2020,Nov,8145,HISTORY,1Q,84,55,48,42,36,30,24,17,11,5,0
2020,Nov,8145,HISTORY,1R,84,56,50,44,38,32,26,18,11,4,0
2020,Nov,8145,HISTORY,1S,84,58,52,47,40,33,27,19,11,4,0
2020,Nov,8145,HISTORY,1T,84,58,52,46,40,34,29,20,12,4,0
2020,Nov,8145,HISTORY,1U,84,55,48,42,35,28,22,16,10,4,0
2020,Nov,8145,HISTORY,2A,84,53,46,39,33,27,21,15,9,4,0
2020,Nov,8145,HISTORY,2B,84,55,48,42,36,30,24,17,10,4,0
2020,Nov,8145,HISTORY,2C,84,55,48,42,35,28,22,15,9,3,0
2020,Nov,8145,HISTORY,2D,84,55,48,42,35,29,23,16,10,4,0
2020,Nov,8145,HISTORY,2E,84,51,44,37,30,23,17,12,8,4,0
2020,Nov,8145,HISTORY,2F,84,54,47,40,33,26,20,14,9,4,0
2020,Nov,8145,HISTORY,2G,84,54,47,40,32,25,18,13,8,3,0
2020,Nov,8145,HISTORY,2H,84,54,47,40,33,26,19,14,9,4,0
2020,Nov,8145,HISTORY,2J,84,54,47,40,33,26,20,14,9,4,0
2020,Nov,8145,HISTORY,2K,84,56,49,43,36,29,23,16,10,4,0
2020,Nov,8145,HISTORY,2L,84,56,49,43,35,28,21,15,9,3,0
2020,Nov,8145,HISTORY,2M,84,56,49,43,36,29,22,16,10,4,0
2020,Nov,8182,PSYCHOLOGY,1,100,74,66,58,48,38,29,21,13,6,0
2020,Nov,8182,PSYCHOLOGY,2,100,74,66,58,48,39,30,22,14,7,0
2020,Nov,8192,SOCIOLOGY,1,100,69,63,58,49,40,32,22,13,4,0
2020,Nov,8192,SOCIOLOGY,2,100,64,57,51,43,35,28,20,12,4,0
2020,Nov,8201E,ART & DESIGN (ART CRAFT & DESIGN),XE,96,78,72,66,57,48,40,29,18,7,0
2020,Nov,8202E,ART & DESIGN (FINE ART),XE,96,78,72,66,57,48,40,29,18,7,0
2020,Nov,8203E,ART & DESIGN (GRAPHIC COMMUNICATION),XE,96,78,72,66,57,48,40,29,18,7,0
2020,Nov,8204E,ART & DESIGN (TEXTILES DESIGN),XE,96,78,72,66,57,48,40,29,18,7,0
2020,Nov,8205E,ART & DESIGN (3D DESIGN),XE,96,78,72,66,57,48,40,29,18,7,0
2020,Nov,8206E,ART & DESIGN (PHOTOGRAPHY),XE,96,78,72,66,57,48,40,29,18,7,0
2020,Nov,8236,DANCE,W,80,48,43,38,31,25,19,14,9,4,0
2020,Nov,8261,DRAMA,W,80,60,53,46,38,30,23,18,13,8,0
2020,Nov,8271,MUSIC,W,96,62,54,46,38,30,22,16,10,5,0
2020,Nov,8300,MATHEMATICS,1F,80,0,0,0,0,48,38,28,18,9,0
2020,Nov,8300,MATHEMATICS,1H,80,64,51,39,30,21,12,7,0,0,0
2020,Nov,8300,MATHEMATICS,2F,80,0,0,0,0,50,41,30,19,9,0
2020,Nov,8300,MATHEMATICS,2H,80,65,53,42,32,22,12,7,0,0,0
2020,Nov,8300,MATHEMATICS,3F,80,0,0,0,0,47,37,27,17,8,0
2020,Nov,8300,MATHEMATICS,3H,80,65,54,43,33,24,15,10,0,0,0
2020,Nov,8382,STATISTICS,1F,80,0,0,0,0,41,32,23,14,6,0
2020,Nov,8382,STATISTICS,1H,80,67,60,53,41,30,19,13,0,0,0
2020,Nov,8382,STATISTICS,2F,80,0,0,0,0,45,37,26,16,6,0
2020,Nov,8382,STATISTICS,2H,80,67,59,51,40,30,20,15,0,0,0
2020,Nov,8461,BIOLOGY,1F,100,0,0,0,0,65,55,39,23,8,0
2020,Nov,8461,BIOLOGY,1H,100,68,61,54,44,35,26,21,0,0,0
2020,Nov,8461,BIOLOGY,2F,100,0,0,0,0,57,46,33,20,8,0
2020,Nov,8461,BIOLOGY,2H,100,63,55,47,37,28,19,14,0,0,0
2020,Nov,8462,CHEMISTRY,1F,100,0,0,0,0,62,49,35,21,7,0
2020,Nov,8462,CHEMISTRY,1H,100,69,58,48,38,28,19,14,0,0,0
2020,Nov,8462,CHEMISTRY,2F,100,0,0,0,0,62,49,35,21,8,0
2020,Nov,8462,CHEMISTRY,2H,100,70,60,50,39,29,19,14,0,0,0
2020,Nov,8463,PHYSICS,1F,100,0,0,0,0,64,52,37,22,8,0
2020,Nov,8463,PHYSICS,1H,100,74,65,57,45,34,23,17,0,0,0
2020,Nov,8463,PHYSICS,2F,100,0,0,0,0,59,46,33,20,8,0
2020,Nov,8463,PHYSICS,2H,100,66,55,44,35,26,17,12,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/1F,70,0,0,0,0,38,30,21,13,5,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/1H,70,44,38,32,26,20,15,12,0,0,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/2F,70,0,0,0,0,40,33,23,14,5,0
2020,Nov,8464,COMBINED SCIENCE: TRILOGY,B/2H,70,45,39,33,27,21,15,12,0,0,0
