year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2017,Jun,1EN0/01,English Language,01,64,54,49,45,39,34,29,20,12,4,0
2017,Jun,1EN0/02,English Language,02,96,80,73,67,59,52,45,31,18,5,0
2017,Jun,1ET0/01,English Literature,01,80,73,66,60,52,44,36,25,14,4,0
2017,Jun,1ET0/02,English Literature,02,80,67,61,55,47,40,33,22,12,2,0
2017,Jun,1MA1/1F,Mathematics (Foundation),1F,80,53,41,30,19,9,,,,,0
2017,Jun,1MA1/1H,Mathematics (Higher),1H,80,63,52,41,32,23,14,9,,,0
2017,Jun,1MA1/2F,Mathematics (Foundation),2F,80,51,40,29,18,8,,,,,0
2017,Jun,1MA1/2H,Mathematics (Higher),2H,80,63,52,41,31,22,13,8,,,0
2017,Jun,1MA1/3F,Mathematics (Foundation),3F,80,53,41,30,19,9,,,,,0
2017,Jun,1MA1/3H,Mathematics (Higher),3H,80,64,53,42,32,23,14,9,,,0
2017,Nov,1EN0/01,English Language,01,64,54,50,47,41,35,30,22,14,6,0
2017,Nov,1EN0/02,English Language,02,96,80,74,69,61,54,47,34,21,9,0
2017,Nov,1MA1/1F,Mathematics (Foundation),1F,80,44,35,25,16,7,,,,,0
2017,Nov,1MA1/1H,Mathematics (Higher),1H,80,64,51,38,29,20,11,6,,,0
2017,Nov,1MA1/2F,Mathematics (Foundation),2F,80,51,40,29,18,8,,,,,0
2017,Nov,1MA1/2H,Mathematics (Higher),2H,80,62,49,37,28,19,11,7,,,0
2017,Nov,1MA1/3F,Mathematics (Foundation),3F,80,49,38,28,18,8,,,,,0
2017,Nov,1MA1/3H,Mathematics (Higher),3H,80,62,49,37,28,19,10,5,,,0
2018,Jun,1AD0/01,"Art, Craft and Design",01,72,59,54,49,42,35,29,20,12,4,0
2018,Jun,1AD0/02,"Art, Craft and Design",02,72,58,53,48,41,34,27,19,11,4,0
2018,Jun,1BI0/1F,Biology (Foundation),1F,100,,,,,53,39,28,18,8,0
2018,Jun,1BI0/1H,Biology (Higher),1H,100,73,65,57,47,37,27,17,,,0
2018,Jun,1BI0/2F,Biology (Foundation),2F,100,,,,,53,39,28,18,8,0
2018,Jun,1BI0/2H,Biology (Higher),2H,100,73,65,57,46,36,26,16,,,0
2018,Jun,1CH0/1F,Chemistry (Foundation),1F,100,,,,,51,41,30,19,9,0
2018,Jun,1CH0/1H,Chemistry (Higher),1H,100,77,66,56,46,36,26,16,,,0
2018,Jun,1CH0/2F,Chemistry (Foundation),2F,100,,,,,57,46,33,21,9,0
2018,Jun,1CH0/2H,Chemistry (Higher),2H,100,77,66,56,46,36,26,16,,,0
2018,Jun,1CP1/01,Computer Science,01,80,57,50,43,38,33,29,22,15,9,0
2018,Jun,1CP1/02,Computer Science,02,80,57,50,43,36,30,24,18,12,7,0
2018,Jun,1CS0/01,Citizenship Studies,01,80,65,59,54,47,40,33,23,13,3,0
2018,Jun,1CS0/02,Citizenship Studies,02,80,65,59,54,46,38,31,21,12,3,0
2018,Jun,1DR0/01,Drama,01,60,53,49,46,41,37,33,25,17,9,0
2018,Jun,1DR0/02,Drama,02,48,40,37,35,31,28,25,18,12,6,0
2018,Jun,1DR0/03,1DR0,03,60,41,38,36,32,28,24,17,11,5,0
2018,Jun,1EN0/01,English Language,01,64,54,49,45,40,35,30,21,13,5,0
2018,Jun,1EN0/02,English Language,02,96,79,72,66,59,52,45,32,19,7,0
2018,Jun,1ET0/01,English Literature,01,80,71,64,58,50,42,35,26,17,8,0
2018,Jun,1ET0/02,English Literature,02,80,62,56,51,44,38,32,23,14,5,0
2018,Jun,1FA0/01,Fine Art,01,72,59,54,49,42,35,29,20,12,4,0
2018,Jun,1FA0/02,Fine Art,02,72,58,53,48,41,34,27,19,11,4,0
2018,Jun,1FR0/1F,French (Foundation),1F,50,,,,,27,22,16,10,5,0
2018,Jun,1FR0/1H,French (Higher),1H,50,39,33,28,24,21,18,15,,,0
2018,Jun,1FR0/2F,French (Foundation),2F,70,,,,,47,38,27,17,7,0
2018,Jun,1FR0/2H,French (Higher),2H,70,60,51,43,36,29,22,15,,,0
2018,Jun,1FR0/3F,French (Foundation),3F,50,,,,,25,20,15,10,5,0
2018,Jun,1FR0/3H,French (Higher),3H,50,39,33,28,24,20,16,12,,,0
2018,Jun,1FR0/4F,French (Foundation),4F,60,,,,,37,30,22,14,6,0
2018,Jun,1FR0/4H,French (Higher),4H,60,46,39,33,28,24,20,16,,,0
2018,Jun,1GA0/01,Geography A,01,94,67,61,55,48,41,35,24,13,3,0
2018,Jun,1GA0/02,Geography A,02,94,73,66,60,53,46,40,28,16,4,0
2018,Jun,1GA0/03,Geography A,03,64,51,46,42,36,31,26,18,10,3,0
2018,Jun,1GB0/01,Geography B,01,94,72,65,59,51,43,35,24,14,4,0
2018,Jun,1GB0/02,Geography B,02,94,67,61,55,47,40,33,23,13,4,0
2018,Jun,1GB0/03,Geography B,03,64,53,48,43,38,34,30,21,12,3,0
2018,Jun,1GC0/01,Graphic Design,01,72,59,54,49,42,35,29,20,12,4,0
2018,Jun,1GC0/02,Graphic Design,02,72,58,53,48,41,34,27,19,11,4,0
2018,Jun,1GN0/1F,German (Foundation),1F,50,,,,,30,24,18,12,6,0
2018,Jun,1GN0/1H,German (Higher),1H,50,38,32,27,23,19,16,13,,,0
2018,Jun,1GN0/2F,German (Foundation),2F,70,,,,,46,37,26,16,6,0
2018,Jun,1GN0/2H,German (Higher),2H,70,58,49,41,34,27,20,13,,,0
2018,Jun,1GN0/3F,German (Foundation),3F,50,,,,,31,25,18,11,5,0
2018,Jun,1GN0/3H,German (Higher),3H,50,38,32,27,23,19,15,11,,,0
2018,Jun,1GN0/4F,German (Foundation),4F,60,,,,,36,29,21,13,6,0
2018,Jun,1GN0/4H,German (Higher),4H,60,48,41,34,27,21,15,9,,,0
2018,Jun,1HI0/10,History,10,52,45,40,36,31,27,23,17,11,5,0
2018,Jun,1HI0/11,History,11,52,42,38,34,30,26,23,16,10,4,0
2018,Jun,1HI0/12,History,12,52,47,42,38,34,30,27,20,13,6,0
2018,Jun,1HI0/20,History,20,64,56,50,45,39,33,27,19,11,4,0
2018,Jun,1HI0/21,History,21,64,52,47,42,35,28,22,16,10,4,0
2018,Jun,1HI0/22,History,22,64,50,45,40,34,28,22,15,9,3,0
2018,Jun,1HI0/23,History,23,64,48,43,39,33,27,22,15,9,3,0
2018,Jun,1HI0/24,History,24,64,52,47,42,35,29,23,16,9,3,0
2018,Jun,1HI0/25,History,25,64,50,45,40,34,28,22,15,9,3,0
2018,Jun,1HI0/26,History,26,64,55,49,44,38,32,26,18,10,3,0
2018,Jun,1HI0/27,History,27,64,57,51,46,39,33,27,19,11,3,0
2018,Jun,1HI0/28,History,28,64,53,48,43,37,31,26,18,11,4,0
2018,Jun,1HI0/29,History,29,64,53,48,43,37,31,26,18,11,4,0
2018,Jun,1HI0/30,History,30,52,45,40,36,31,27,23,16,10,4,0
2018,Jun,1HI0/31,History,31,52,42,38,34,30,26,22,15,9,3,0
2018,Jun,1HI0/32,History,32,52,45,40,36,31,27,23,16,10,4,0
2018,Jun,1HI0/33,History,33,52,42,38,34,30,26,22,15,9,3,0
2018,Jun,1MA1/1F,Mathematics (Foundation),1F,80,,,,,58,47,35,23,11,0
2018,Jun,1MA1/1H,Mathematics (Higher),1H,80,70,59,48,38,28,18,13,,,0
2018,Jun,1MA1/2F,Mathematics (Foundation),2F,80,,,,,57,46,34,22,10,0
2018,Jun,1MA1/2H,Mathematics (Higher),2H,80,68,57,47,37,27,18,13,,,0
2018,Jun,1MA1/3F,Mathematics (Foundation),3F,80,,,,,53,43,32,21,10,0
