year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2018,Jun,4EA1/01,English Language A,01,90,72,66,60,54,49,44,32,21,10,0
2018,Jun,4EA1/01R,English Language A,01R,90,73,67,61,55,49,44,32,21,10,0
2018,Jun,4EA1/02,English Language A,02,60,43,39,36,31,26,22,16,11,6,0
2018,Jun,4EA1/02R,English Language A,02R,60,45,41,37,32,27,23,17,11,6,0
2018,Jun,4EA1/03,English Language A,03,60,46,42,38,33,28,23,17,12,7,0
2018,Jun,4EB1/01,English Language B,01,100,70,63,57,53,49,45,34,24,14,0
2018,Jun,4EB1/01R,English Language B,01R,100,70,63,57,51,46,41,32,23,14,0
2018,Jun,4ET1/01,English Literature,01,90,68,62,56,50,44,38,28,18,9,0
2018,Jun,4ET1/01R,English Literature,01R,90,68,62,56,50,44,38,28,18,9,0
2018,Jun,4ET1/02,English Literature,02,60,47,43,39,34,30,26,19,12,5,0
2018,Jun,4ET1/02R,English Literature,02R,60,46,42,38,34,30,26,19,12,5,0
2018,Jun,4ET1/03,English Literature,03,60,49,44,40,35,31,27,20,13,6,0
2018,Jun,4MA1/1F,Mathematics A (Foundation),1F,100,,,,,70,56,41,26,11,0
2018,Jun,4MA1/1H,Mathematics A (Higher),1H,100,78,65,52,41,30,20,15,,,0
2018,Jun,4MA1/1HR,Mathematics A (Higher),1HR,100,75,62,50,39,29,19,14,,,0
2018,Jun,4MA1/2H,Mathematics A (Higher),2H,100,75,62,50,39,29,19,14,,,0
2018,Jun,4MA1/2HR,Mathematics A (Higher),2HR,100,80,66,53,42,31,20,14,,,0
2018,Jun,4MB1/01,Mathematics B,01,100,74,64,55,44,33,23,18,,,0
2018,Jun,4MB1/01R,Mathematics B,01R,100,75,65,56,45,34,23,17,,,0
2018,Jun,4MB1/02,Mathematics B,02,100,74,64,55,44,33,22,16,,,0
2018,Jun,4MB1/02R,Mathematics B,02R,100,74,64,55,44,33,23,18,,,0
2019,Jan,4EA1/01,English Language A,01,90,73,66,59,53,48,43,32,21,10,0
2019,Jan,4EA1/01R,English Language A,01R,90,73,66,59,53,48,43,32,21,10,0
2019,Jan,4EA1/02,English Language A,02,60,43,39,35,30,25,21,16,11,6,0
2019,Jan,4EA1/02R,English Language A,02R,60,43,39,35,30,25,21,16,11,6,0
2019,Jan,4EA1/03,English Language A,03,60,47,42,38,33,28,23,17,12,7,0
2019,Jan,4EA1/03T,English Language A,03T,60,47,42,38,33,28,23,17,12,7,0
2019,Jan,4EB1/01,English Language B,01,100,72,66,61,57,54,51,39,27,15,0
2019,Jan,4EB1/01R,English Language B,01R,100,72,66,61,57,54,51,39,27,15,0
2019,Jan,4ET1/01,English Literature,01,90,68,62,56,50,44,38,28,18,9,0
2019,Jan,4ET1/01R,English Literature,01R,90,68,62,56,50,44,38,28,18,9,0
2019,Jan,4ET1/02,English Literature,02,60,48,43,39,34,30,26,19,12,5,0
2019,Jan,4ET1/02R,English Literature,02R,60,46,42,38,34,30,26,19,12,5,0
2019,Jan,4ET1/03,English Literature,03,60,49,44,40,35,31,27,20,13,6,0
2019,Jan,4ET1/03T,English Literature,03T,60,49,44,40,35,31,27,20,13,6,0
2019,Jan,4MA1/1F,Mathematics A (Foundation),1F,100,,,,,72,58,42,27,12,0
2019,Jan,4MA1/1FR,Mathematics A (Foundation),1FR,100,,,,,68,55,40,26,12,0
2019,Jan,4MA1/1H,Mathematics A (Higher),1H,100,78,64,50,39,29,19,14,,,0
2019,Jan,4MA1/1HR,Mathematics A (Higher),1HR,100,75,61,48,38,28,19,14,,,0
2019,Jan,4MA1/2F,Mathematics A (Foundation),2F,100,,,,,68,55,40,25,11,0
2019,Jan,4MA1/2FR,Mathematics A (Foundation),2FR,100,,,,,70,56,41,26,11,0
2019,Jan,4MA1/2H,Mathematics A (Higher),2H,100,78,64,50,39,29,19,14,,,0
2019,Jan,4MA1/2HR,Mathematics A (Higher),2HR,100,77,63,49,39,29,19,14,,,0
2019,Jan,4MB1/01,Mathematics B,01,100,74,64,55,44,33,23,18,,,0
2019,Jan,4MB1/01R,Mathematics B,01R,100,74,64,55,44,33,23,18,,,0
2019,Jan,4MB1/02,Mathematics B,02,100,74,64,55,44,33,23,18,,,0
2019,Jan,4MB1/02R,Mathematics B,02R,100,75,65,56,45,34,23,17,,,0
2019,Jun,4AA1/01,Arabic (First Language),01,75,53,50,47,43,39,36,29,22,16,0
2019,Jun,4AA1/02,Arabic (First Language),02,50,46,43,41,38,36,34,27,21,15,0
2019,Jun,4AC1/01,Accounting,01,100,79,73,67,61,56,51,41,32,23,0
2019,Jun,4AC1/01R,Accounting,01R,100,86,79,73,68,63,59,48,37,26,0
2019,Jun,4AC1/02,Accounting,02,50,41,38,35,32,29,26,19,13,7,0
2019,Jun,4AC1/02R,Accounting,02R,50,47,43,40,36,33,30,24,18,12,0
2019,Jun,4BA0/01,Bangla,01,99,85,81,78,72,66,60,49,38,28,0
2019,Jun,4BI1/1B,Biology,1B,110,85,75,66,59,52,46,39,32,25,0
2019,Jun,4BI1/1BR,Biology,1BR,110,80,71,62,55,48,42,35,28,22,0
2019,Jun,4BI1/2B,Biology,2B,70,51,45,39,34,30,26,22,18,14,0
2019,Jun,4BI1/2BR,Biology,2BR,70,52,46,40,36,32,28,23,19,15,0
2019,Jun,4BN1/01,Bangladesh Studies,01,75,58,53,49,45,41,38,30,22,15,0
2019,Jun,4BN1/02,Bangladesh Studies,02,75,63,58,54,48,43,38,30,22,14,0
2019,Jun,4BS1/01,Business,01,80,57,51,46,39,32,25,20,16,12,0
2019,Jun,4BS1/01R,Business,01R,80,57,51,46,39,32,26,21,16,12,0
2019,Jun,4BS1/02,Business,02,80,54,49,44,37,30,23,19,15,12,0
2019,Jun,4BS1/02R,Business,02R,80,56,50,45,37,30,23,19,15,12,0
2019,Jun,4CH1/1C,Chemistry,1C,110,84,74,64,57,50,44,36,28,21,0
2019,Jun,4CH1/1CR,Chemistry,1CR,110,87,77,67,60,53,46,38,30,22,0
2019,Jun,4CH1/2C,Chemistry,2C,70,59,52,45,40,36,32,26,20,14,0
2019,Jun,4CH1/2CR,Chemistry,2CR,70,65,57,50,46,42,39,31,23,16,0
2019,Jun,4CM1/01,Commerce,01,80,48,42,37,32,28,24,19,14,10,0
2019,Jun,4CM1/01R,Commerce,01R,80,48,42,37,32,28,24,19,15,11,0
2019,Jun,4CM1/02,Commerce,02,80,48,42,37,32,28,24,19,15,11,0
2019,Jun,4CM1/02R,Commerce,02R,80,48,42,37,32,28,24,19,15,11,0
2019,Jun,4CN1/01,Chinese,01,40,38,35,33,30,27,24,20,16,12,0
2019,Jun,4CN1/01R,Chinese,01R,40,38,34,31,29,27,25,21,18,15,0
2019,Jun,4CN1/02,Chinese,02,80,72,65,59,54,49,44,33,22,11,0
2019,Jun,4CN1/02R,Chinese,02R,80,71,64,58,53,49,45,33,22,11,0
2019,Jun,4CN1/03,Chinese,03,40,37,33,30,26,22,18,14,10,7,0
2019,Jun,4CP0/01,Computer Science,01,80,62,58,54,48,42,37,28,20,12,0
2019,Jun,4CP0/02,Computer Science,02,80,73,68,63,56,50,44,31,19,7,0
2019,Jun,4EA1/01,English Language A,01,90,74,68,62,56,51,46,34,23,12,0
2019,Jun,4EA1/01R,English Language A,01R,90,73,67,61,57,53,49,36,24,12,0
2019,Jun,4EA1/02,English Language A,02,60,43,39,36,31,26,22,16,11,6,0
2019,Jun,4EA1/02R,English Language A,02R,60,42,38,35,30,26,22,16,11,6,0
2019,Jun,4EA1/03,English Language A,03,60,48,44,40,35,30,25,19,14,9,0
2019,Jun,4EA1/03T,English Language A,03T,60,48,44,40,35,30,25,19,14,9,0
2019,Jun,4EB1/01,English Language B,01,100,74,68,62,58,54,51,38,25,13,0
2019,Jun,4EB1/01R,English Language B,01R,100,72,66,61,57,53,49,37,25,13,0
2019,Jun,4EC1/01,Economics,01,80,54,49,45,41,37,34,29,24,19,0
2019,Jun,4EC1/01R,Economics,01R,80,54,49,45,42,39,36,30,25,20,0
2019,Jun,4EC1/02,Economics,02,80,54,49,45,41,37,34,28,22,17,0
2019,Jun,4EC1/02R,Economics,02R,80,54,49,45,41,37,34,28,22,16,0
2019,Jun,4ES1/01,English as a Second Language,01,100,92,88,85,78,71,64,57,51,45,0
2019,Jun,4ES1/01R,English as a Second Language,01R,100,92,88,85,78,71,64,57,51,45,0
2019,Jun,4ES1/02,English as a Second Language,02,40,38,35,33,31,29,27,22,18,14,0
2019,Jun,4ES1/02R,English as a Second Language,02R,40,38,35,33,31,29,27,22,18,14,0
2019,Jun,4ET1/01,English Literature,01,90,68,62,56,50,44,38,28,18,9,0
2019,Jun,4ET1/01R,English Literature,01R,90,65,59,53,47,42,37,27,18,9,0
2019,Jun,4ET1/02,English Literature,02,60,46,42,38,33,29,25,18,11,5,0
2019,Jun,4ET1/02R,English Literature,02R,60,40,36,33,30,28,26,19,12,5,0
2019,Jun,4ET1/03,English Literature,03,60,50,45,41,36,32,28,21,14,7,0
2019,Jun,4ET1/03T,English Literature,03T,60,50,45,41,36,32,28,21,14,7,0
2019,Jun,4FA1/01,Art & Design: Fine Art,01,72,61,56,51,45,39,34,26,19,12,0
2019,Jun,4FA1/02,Art & Design: Fine Art,02,72,61,56,51,45,39,34,26,19,12,0
2019,Jun,4FR1/01,French,01,40,26,23,20,18,16,15,11,8,5,0
2019,Jun,4FR1/01R,French,01R,40,30,26,23,20,18,16,13,10,7,0
2019,Jun,4FR1/02,French,02,80,68,60,52,47,42,37,28,19,10,0
2019,Jun,4FR1/02R,French,02R,80,68,60,52,47,42,37,28,19,10,0
2019,Jun,4FR1/03,French,03,40,32,28,25,22,19,16,13,10,8,0
2019,Jun,4GC1/01,Art & Design: Graphic Design,01,72,61,56,51,45,39,34,26,19,12,0
2019,Jun,4GC1/02,Art & Design: Graphic Design,02,72,61,56,51,45,39,34,26,19,12,0
2019,Jun,4GE1/01,Geography,01,70,53,48,43,38,33,29,23,17,12,0
2019,Jun,4GE1/01R,Geography,01R,70,53,48,43,38,33,29,23,18,13,0
2019,Jun,4GE1/02,Geography,02,105,82,74,67,60,54,48,37,27,17,0
2019,Jun,4GE1/02R,Geography,02R,105,82,74,67,61,55,49,38,28,18,0
2019,Jun,4GK1/01,Greek (First Language),01,75,63,60,57,52,47,42,36,31,26,0
2019,Jun,4GK1/02,Greek (First Language),02,50,45,42,40,36,33,30,26,23,20,0
2019,Jun,4GL1/01,Global Citizenship,01,100,84,77,70,63,56,50,38,26,15,0
2019,Jun,4GN1/01,German,01,40,26,22,18,15,12,10,8,6,5,0
2019,Jun,4GN1/01R,German,01R,40,26,22,18,15,12,9,7,6,5,0
2019,Jun,4GN1/02,German,02,80,54,46,38,32,26,21,17,14,11,0
2019,Jun,4GN1/02R,German,02R,80,57,48,40,34,28,22,18,14,11,0
2019,Jun,4GN1/03,German,03,40,36,30,25,22,19,16,13,10,8,0
2019,Jun,4HB1/01,Human Biology,01,90,73,68,63,57,52,47,39,31,24,0
2019,Jun,4HB1/01R,Human Biology,01R,90,72,67,62,56,51,46,38,31,24,0
2019,Jun,4HB1/02,Human Biology,02,90,75,70,65,59,53,48,40,32,24,0
2019,Jun,4HB1/02R,Human Biology,02R,90,76,71,66,60,54,49,41,33,25,0
2019,Jun,4HI1/01,History,01,60,51,45,39,34,29,25,18,11,5,0
2019,Jun,4HI1/01R,History,01R,60,51,45,39,35,31,27,19,12,5,0
2019,Jun,4HI1/02,History,02,60,47,41,36,32,28,24,17,11,5,0
2019,Jun,4HI1/02R,History,02R,60,47,41,36,32,28,24,17,11,5,0
2019,Jun,4IS1/01,Islamic Studies,01,90,75,69,64,58,52,46,40,34,29,0
2019,Jun,4IT1/01,ICT,01,100,71,65,59,50,41,33,25,18,11,0
2019,Jun,4IT1/01R,ICT,01R,100,72,66,60,50,41,32,25,18,11,0
2019,Jun,4IT1/02,ICT,02,100,73,67,61,52,44,36,27,19,11,0
2019,Jun,4MA1/1F,Mathematics A (Foundation),1F,100,,,,,71,59,43,27,12,0
2019,Jun,4MA1/1FR,Mathematics A (Foundation),1FR,100,,,,,70,58,42,27,12,0
