year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2025,June,9201/1,BIOLOGY,PAPER 1,90,63,57,52,45,38,32,24,16,8,,0
2025,June,9201/2,BIOLOGY,PAPER 2,90,63,58,53,46,40,34,25,17,9,,0
2025,June,9202/1,CHEMISTRY,PAPER 1,90,71,64,58,49,41,33,25,18,11,,0
2025,June,9202/2,CHEMISTRY,PAPER 2,90,68,60,53,46,40,34,25,16,8,,0
2025,June,9203/1,PHYSICS,PAPER 1,90,72,66,60,53,46,40,31,23,15,,0
2025,June,9203/2,PHYSICS,PAPER 2,90,68,61,54,48,42,36,28,21,14,,0
2025,June,9210/1,COMPUTER SCIENCE,PAPER 1,80,70,64,58,48,39,30,22,14,7,,0
2025,June,9210/2,COMPUTER SCIENCE,PAPER 2,80,68,60,53,45,38,31,24,18,12,,0
2025,June,9214/1,ECONOMICS,PAPER 1,80,63,59,56,49,43,37,28,19,10,,0
2025,June,9214/2,ECONOMICS,PAPER 2,80,63,59,55,49,43,37,28,19,10,,0
2025,June,9218/1,PSYCHOLOGY,PAPER 1,100,79,72,65,55,46,37,26,16,6,,0
2025,June,9218/2,PSYCHOLOGY,PAPER 2,100,79,72,65,55,46,37,26,15,5,,0
2025,June,9225/1,BUSINESS,PAPER 1,90,70,65,61,54,47,40,30,21,12,,0
2025,June,9225/2,BUSINESS,PAPER 2,90,68,62,57,50,44,38,29,20,12,,0
2025,June,9230/1,GEOGRAPHY,PAPER 1,80,55,49,44,38,32,27,19,12,5,,0
2025,June,9230/2,GEOGRAPHY,PAPER 2,80,53,47,42,38,34,30,22,14,6,,0
2025,June,9230/3,GEOGRAPHY,PAPER 3,60,47,44,41,37,33,29,21,13,5,,0
2025,June,9252/C,D&T: PRODUCT DESIGN,NEA,100,88,80,73,64,55,47,35,23,11,,0
2025,June,9252/W,D&T: PRODUCT DESIGN,WRITTEN PAPER,100,86,77,69,61,54,47,34,22,10,,0
2025,June,9265/L,FRENCH,PAPER 1 LISTENING,60,44,39,36,32,27,24,18,12,6,,0
2025,June,9265/R,FRENCH,PAPER 3 READING,60,44,40,36,32,29,26,19,12,6,,0
2025,June,9265/S,FRENCH,PAPER 2 SPEAKING,60,45,41,38,33,30,27,20,12,6,,0
2025,June,9265/W,FRENCH,PAPER 4 WRITING,60,44,40,37,33,29,26,19,12,6,,0
2025,June,9270/1,ENGLISH LANGUAGE,PAPER 1,120,99,89,78,66,56,45,33,23,12,,0
2025,June,9270/2,ENGLISH LANGUAGE,PAPER 2,80,66,59,52,45,39,33,24,16,8,,0
2025,June,9270/P,ENGLISH LANGUAGE,NEA PROJECT,80,68,61,55,48,41,35,25,17,9,,0
2025,June,9275/1,ENGLISH LITERATURE,PAPER 1,60,47,41,35,30,25,20,15,10,6,,0
2025,June,9275/2A,ENGLISH LITERATURE,PAPER 2 ROUTE A,90,74,67,60,52,45,38,28,18,9,,0
2025,June,9275/2B,ENGLISH LITERATURE,PAPER 2 ROUTE B,60,50,45,40,34,29,24,18,12,6,,0
2025,June,9275/C,ENGLISH LITERATURE,NEA,30,25,23,21,18,15,13,9,6,3,,0
2025,June,9280/L,ENGLISH AS A SECOND LANGUAGE,LISTENING,40,37,35,34,31,28,26,19,12,6,,0
2025,June,9280/R,ENGLISH AS A SECOND LANGUAGE,READING,60,54,50,47,44,41,39,28,17,6,,0
2025,June,9280/S,ENGLISH AS A SECOND LANGUAGE,SPEAKING,40,35,32,29,26,23,20,14,9,4,,0
2025,June,9280/W,ENGLISH AS A SECOND LANGUAGE,WRITING,60,51,46,42,39,36,33,24,15,7,,0
2025,November,9201/1,BIOLOGY,PAPER 1,90,63,57,52,45,38,32,24,16,9,,0
2025,November,9201/2,BIOLOGY,PAPER 2,90,63,58,53,46,40,34,25,17,9,,0
2025,November,9202/1,CHEMISTRY,PAPER 1,90,70,63,57,49,41,33,25,18,11,,0
